created_at,job,price(usd),matched_keywords_job,combined_keywords
2022-01-04 20:07:18,"Cambio de cilindro, chapòn y fijar base.",32.3,Cilindro,cilindro
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,Cilindro,"cilindro, ruedas, rueda, rellenar"
2022-01-06 14:49:54,"Interno madera c/insertos, tapizar y rellenar asiento, ruedas, cilindro y contacto.",64.35,Cilindro,"cilindro, ruedas, rueda, rellenar"
2022-01-08 15:49:42,Cambiar cilindro y revisar,18.66,Cilindro,cilindro
2022-01-08 16:03:52,Cambiar cilindro y perilla contacto perm.,22.49,Cilindro,cilindro
2022-01-08 16:50:06,"Colocar estrella cromada, cilindro y basculante",71.29,Cilindro,"cilindro, basculante, estrella"
2022-01-21 18:18:06,"Revisar y presupuestar: chapòn, cilindro, ruedas, enderezar aro, interno asiento de madera, retapizado asiento c/relleno.",67.94,Cilindro,"cilindro, ruedas, rueda"
2022-01-25 14:14:47,Cilindro y revisar,0.0,Cilindro,
2022-01-25 20:30:15,cilindro y retapizar asiento,30.14,Cilindro,"cilindro, retapizar"
2022-01-26 17:42:51,Revisar cilindro y chapòn (soldar),31.58,Cilindro,"cilindro, soldar"
2022-01-27 14:15:25,Cilindro y revisar,19.14,Cilindro,
2022-02-03 16:22:40,cambiar cilindro,20.29,Cilindro,cilindro
2022-02-04 16:46:25,"Revisar cilindro, ruedas y retapizado de asiento y respaldo",49.76,Cilindro,"cilindro, ruedas, rueda"
2022-02-04 17:02:07,Cambiar cilindro y endrerezar apoyas,23.67,Cilindro,cilindro
2022-02-11 18:36:40,"Teñir sillòn grande y rellenar asiento, cilindro y suplementar $ 3300.-  / $ 4100.- / $ 700.-  Total $ 8100.-",39.13,Cilindro,"cilindro, rellenar"
2022-02-12 15:14:57,Cambiar cilindro de china a Sillòn / Retapizar sillòn,43.96,Cilindro,cilindro
2022-02-18 18:33:25,Cambio de cilindro en los 2,39.61,Cilindro,cilindro
2022-03-03 15:51:45,Cambiar cilindro y ( ruedas ),0.0,Cilindro,"cilindro, ruedas, rueda"
2022-03-10 18:41:52,CILINDRO,23.01,Cilindro,
2022-03-10 20:59:09,Cambio de cilindro,22.96,Cilindro,cilindro
2022-03-11 17:28:50,Cilindro y 5 ruedas,31.63,Cilindro,"ruedas, rueda"
2022-03-16 14:49:07,Cilindro,0.0,Cilindro,
2022-03-16 16:03:53,Colocar cilindro largo,4.08,Cilindro,cilindro
2022-03-21 13:54:04,"Revisar cilindro, perilla de palanca y suplem.",24.23,Cilindro,cilindro
2022-03-22 17:15:39,Cambio de cilindro,22.96,Cilindro,cilindro
2022-03-23 13:54:38,Cilindro y retap. asiento,39.29,Cilindro,
2022-03-25 16:08:22,Revisar cilindro y basculante,23.98,Cilindro,"cilindro, basculante"
2022-03-28 17:19:47,Revisar estrella c/cilindro pasado. Presupuestar,6.63,Cilindro,"cilindro, estrella"
2022-03-30 17:34:27,Cilindro y revisar,23.98,Cilindro,
2022-04-02 16:41:17,Cambio de cilindro,0.0,Cilindro,cilindro
2022-04-08 16:13:35,Cilindro y rellenar asiento,38.17,Cilindro,rellenar
2022-04-20 18:09:09,"Silla cromada, no tiene arreglo, silla Candy : fabricar interno $ 3800.- y cilindro $ 4700.- ( si se utiliza el cilindro de la otra, se ahorra èste importe)",21.37,Cilindro,"cilindro, silla"
2022-04-20 18:39:52,"Cilindro, rellenar asiento y parches, fuelle telescòpico, 1 rueda",27.99,Cilindro,"rueda, rellenar"
2022-04-21 19:19:40,Cambiar cilindro,0.0,Cilindro,cilindro
2022-05-02 17:17:18,"cilindro, estrella y 1 rueda /",47.61,Cilindro,"cilindro, rueda, estrella"
2022-05-03 14:18:08,"Cambiar cilindro, abrir tapizado y sacar tornillos cortados de insertos apoyabrazos, colocar 2 tornillos largos Allen.",30.1,Cilindro,cilindro
2022-05-04 18:18:45,Cambio de cilindro y rellenar asiento,34.83,Cilindro,"cilindro, rellenar"
2022-05-06 19:32:49,"Cilindro, rellenar asiento, enderezar estructura, perilla cilindro.",36.07,Cilindro,"cilindro, rellenar"
2022-05-07 14:37:55,Cilindro,24.38,Cilindro,
2022-05-11 14:50:16,"Cambiar cilindro y chapòn, fijar c/parker",39.3,Cilindro,cilindro
2022-05-16 16:31:29,Cambio de cilindro,24.38,Cilindro,cilindro
2022-05-16 19:45:42,cambiar cilindro 4.900.-. tapizado completo 5.500,51.74,Cilindro,cilindro
2022-05-21 13:38:50,Cambio de cilindro,24.38,Cilindro,cilindro
2022-05-23 18:06:35,Cambiar ruedas y cilindro a base cromada nueva,33.83,Cilindro,"cilindro, ruedas, rueda"
2022-05-31 15:43:56,Cilindro,0.0,Cilindro,
2022-06-04 14:59:25,Cambiar cilindro y basculante ( c/Parker),45.17,Cilindro,"cilindro, basculante"
2022-06-07 17:30:57,Revisar cilindro,3.42,Cilindro,cilindro
2022-06-10 18:06:51,Cambiar cilindro,20.94,Cilindro,cilindro
2022-06-21 15:08:46,Cambio de cilindro y soldar chapòn,24.36,Cilindro,"cilindro, soldar"
2022-06-21 20:02:00,cilindro y revisar,37.61,Cilindro,cilindro
2022-06-22 13:50:18,Revisar y presupuestar/ cilindro,0.0,Cilindro,cilindro
2022-06-23 13:05:26,cilindro y revisar,24.36,Cilindro,cilindro
2022-06-30 18:36:56,Cambio de cilindro,21.79,Cilindro,cilindro
2022-07-01 16:35:25,CILINDRO,17.83,Cilindro,
2022-07-01 16:58:50,Cilindro,17.48,Cilindro,
2022-07-01 17:13:03,Cambiar cilindro,17.83,Cilindro,cilindro
2022-07-01 19:16:09,Revisar basculante y ver ajuste cilindro en chapòn,7.34,Cilindro,"cilindro, basculante"
2022-07-04 14:16:50,Cambio de cilindro,19.23,Cilindro,cilindro
2022-07-04 17:50:13,Cambiar cilindro,18.18,Cilindro,cilindro
2022-07-07 16:57:37,Cambio de cilindro y 4 tornillos,19.93,Cilindro,cilindro
2022-07-21 14:04:14,Cambio de cilindro,19.23,Cilindro,cilindro
2022-07-22 14:33:23,Cambio de cilindro,17.48,Cilindro,cilindro
2022-07-22 18:35:06,Cambio de cilindro,19.23,Cilindro,cilindro
2022-07-23 16:13:53,Cambio de cilindro,19.23,Cilindro,cilindro
2022-07-28 13:30:28,Cilindro y revisar,41.26,Cilindro,
2022-07-28 15:59:28,Cilindro y retapizado en tela Jackson Azul Ocean,42.31,Cilindro,
2022-08-01 16:54:21,Cambio de cilindro,7.02,Cilindro,cilindro
2022-08-01 17:20:19,Cambio de cilindro y estrella chica,32.63,Cilindro,"cilindro, estrella"
2022-08-02 14:48:57,Cambio de cilindro y ruedas,0.0,Cilindro,"cilindro, ruedas, rueda"
2022-08-11 15:17:46,Silla Diva: cilindro  / Silla cajera revisar y presupuestar,58.95,Cilindro,cilindro
2022-08-16 18:22:17,CILINDRO,20.35,Cilindro,
2022-08-24 15:17:43,Cambio de cilindro. Revisar,20.7,Cilindro,cilindro
2022-08-29 14:00:20,Cambio de cilindro,35.26,Cilindro,cilindro
2022-08-29 16:48:25,CILINDRO,20.7,Cilindro,
2022-08-31 14:14:13,revisar. Cilindro. Tapizado en pana lavable rosa claro. Pasar presupuesto. tAPIZADO SIN LA TELA,20.7,Cilindro,
